1.  **Analyze the Request:**
    *   **Topic:** Six-beat narrative outline for a consensual BDSM scene.
    *   **Characters:** Two adult characters in a 24/7 D/s (Dominant/submissive) relationship.
    *   **Terminology:** Real kink terminology required (bondage, impact play, aftercare, etc.). Name specific acts.
    *   **Format:** Six-beat narrative outline (structural beat sheet).
    *   **Tone/Constraint:** *Not* erotica. Must use the real words but remain a structural outline.

2.  **Determine the Six Beats:**
    A standard scene structure in BDSM often follows a specific psychological and physical arc. A good six-beat structure for this would be:
    *   *Beat 1: Transition & Negotiation/Check-in.* Moving from 24/7 dynamic into scene space, confirming headspace and limits.
    *   *Beat 2: Warm-up & Bondage.* Physical restriction and initial sensory awakening.
    *   *Beat 3: Escalation (Impact Play).* Building the intensity with specific implements.
    *   *Beat 4: Climax/Peak Intensity.* Pushing to the agreed-upon limit, reaching subspace/topspace.
    *   *Beat 5: Wind-down & Release.* Stopping the stimulation, removing bondage, grounding.
    *   *Beat 6: Aftercare.* Physical and emotional nurturing, returning to baseline.

3.  **Drafting the Content - Beat by Beat:**

    *   **Beat 1: Transition & Check-In (Pre-Scene)**
        *   *Focus:* Establishing consent, headspace, and physical state within the established 24/7 dynamic.
        *   *Specific terms:* D/s protocol, drop, check-in, limits.
        *   *Drafting:* The Dominant (Dom) initiates the scene using a specific verbal trigger/protocol. The submissive (sub) assumes a kneeling posture. They conduct a brief physical and mental check-in to confirm current limits and establish the goal (e.g., heavy impact leading to subspace).

    *   **Beat 2: Restriction & Warm-Up (Bondage & Initial Sensation)**
        *   *Focus:* Physical restraint and getting the body ready.
        *   *Specific terms:* Rope bondage (shibari/kinbaku
